Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist
02 - Sanctuary,David Murray/Paul Di'Anno/Steve Harris,196284,4712576,0.99,Blues,Iron Maiden,Iron Maiden
Walking on the Moon,G M Sumner,302080,10019861,0.99,Rock,The Police Greatest Hits,The Police
Marvin,Titãs,264359,8741444,0.99,Alternative & Punk,Acústico,Titãs
My Michelle,,219961,3671299,0.99,Rock,Appetite for Destruction,Guns N' Roses
Faltando Um Pedaço,,267728,8788760,0.99,Latin,Djavan Ao Vivo - Vol. 02,Djavan
"Crossroads, Pt. 2",,2869953,497335706,1.99,Sci Fi & Fantasy,"Battlestar Galactica, Season 3",Battlestar Galactica
Buk-In-Hamm Palace,,265665,8964369,0.99,Reggae,Greatest Hits,Lenny Kravitz
Cigaro,"Tankian, Serj",131787,4321705,0.99,Metal,Mezmerize,System Of A Down
As Aparências Enganam,,247379,8014346,0.99,Latin,Elis Regina-Minha História,Elis Regina
We Are The Champions,Mercury,182883,5939794,0.99,Rock,News Of The World,Queen
Slow An' Easy,Moody,367255,11961332,0.99,Metal,Greatest Hits,Lenny Kravitz
Soul Parsifal,Renato Russo - Marisa Monte,295053,9853589,0.99,Latin,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana
Rock The Casbah,The Clash,222145,7361500,0.99,Alternative & Punk,The Singles,The Clash
He Can Only Hold Her,Richard Poindexter & Robert Poindexter,166680,2666531,0.99,R&B/Soul,Back to Black,Amy Winehouse
The Secret,,1264875,253143200,1.99,TV Shows,"The Office, Season 2",The Office
O Misterio do Samba,,226142,9047970,0.99,Electronica/Dance,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa
Ain't Talkin' 'bout Love,"Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",228336,7569506,0.99,Rock,"The Best Of Van Halen, Vol. I",Van Halen
The Clansman,Steve Harris,559203,22370432,0.99,Rock,Rock In Rio [CD2],Iron Maiden
Don't Take Your Love From Me,,282331,9244238,0.99,Jazz,Up An' Atom,Gene Krupa
I Get A Kick Out Of You,cole porter,194429,6332441,0.99,Easy Listening,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra
White Feather,"Kelly, Mosley, Rothery, Trewaves",143595,4711776,0.99,Rock,Misplaced Childhood,Marillion
Outlaws,,2619887,206500939,1.99,TV Shows,"Lost, Season 1",Lost
Dr. Feelgood,Mick Mars/Nikki Sixx,282618,9281875,0.99,Metal,Motley Crue Greatest Hits,Mötley Crüe
Era Uma Vez,Arnaldo Anutnes/Branco Mello/Marcelo Fromer/Sergio Brotto/Toni Bellotto,224261,7453156,0.99,Alternative & Punk,Volume Dois,Titãs
For the Greater Good of God,,564893,9367328,0.99,Rock,A Matter of Life and Death,Iron Maiden
Ela Desapareceu,Chico Amaral/Samuel Rosa,250122,8289200,0.99,Rock,Maquinarama,Skank
Enough Space,Dave Grohl,157387,5169280,0.99,Rock,The Colour And The Shape,Foo Fighters
"Get Down, Make Love",Mercury,231235,7509333,0.99,Rock,News Of The World,Queen
The Trooper,Steve Harris,273528,10942592,0.99,Metal,Rock In Rio [CD1],Iron Maiden
"Um Amor, Um Lugar",Herbert Vianna,184555,6090334,0.99,Latin,Acústico MTV,Os Paralamas Do Sucesso
Whole Lotta Rosie,AC/DC,323761,10547154,0.99,Rock,Let There Be Rock,AC/DC
Plaster Caster,Gene Simmons,198060,6528719,0.99,Rock,Unplugged [Live],Kiss
Surrender,,287634,9422926,0.99,Jazz,Heart of the Night,Spyro Gyra
Cold Day In The Sun,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",200724,6596617,0.99,Rock,In Your Honor [Disc 2],Foo Fighters
The Song Remains The Same,Jimmy Page/Jimmy Page & Robert Plant/Robert Plant,330004,10708950,0.99,Rock,Houses Of The Holy,Led Zeppelin
Loving You Is Sweeter Than Ever,Ivy Hunter/Stevie Wonder,166295,5377546,0.99,R&B/Soul,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye
A Volta Da Asa Branca,Luiz Gonzaga/Zé Dantas,271020,9098093,0.99,Soundtrack,As Canções de Eu Tu Eles,Gilberto Gil
She Suits Me To A Tee,Buddy Guy,136803,4456321,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Taking a Break from All Your Worries,,2624207,492700163,1.99,Science Fiction,"Battlestar Galactica, Season 3",Battlestar Galactica
Afraid To Shoot Strangers,Steve Harris,407980,6529024,0.99,Metal,A Real Live One,Iron Maiden
Romance Ideal,,250070,8260477,0.99,Latin,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso
Canon and Gigue in D Major: I. Canon,Johann Pachelbel,271788,4438393,0.99,Classical,Pachelbel: Canon & Gigue,English Concert & Trevor Pinnock
Tendo A Lua,Herbert Vianna/Tetê Tillet,219585,7342776,0.99,Latin,Arquivo II,Os Paralamas Do Sucesso
Glitter,Bryan Adams/Nikki Sixx/Scott Humphrey,340114,11184094,0.99,Metal,Motley Crue Greatest Hits,Mötley Crüe
Cuitelinho,Folclore,209397,6803970,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento
Driver 8,R.E.M.,204747,6779076,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.
Waterhole (Expresso Bongo),"Kelly, Mosley, Rothery, Trewaves",133093,4378835,0.99,Rock,Misplaced Childhood,Marillion
Polícia (Vinheta),Titãs,56111,1824213,0.99,Alternative & Punk,Acústico,Titãs
Ashes And Ghosts,Billy Duffy/Bob Rock/Ian Astbury,300591,9787692,0.99,Rock,Beyond Good And Evil,The Cult
Straight Out Of Line,Sully Erna,259213,8511877,0.99,Metal,Faceless,Godsmack
Fool In The Rain,"Jimmy Page, Robert Plant & John Paul Jones",372950,12371433,0.99,Rock,In Through The Out Door,Led Zeppelin
You Know My Name,Chris Cornell,240255,3940651,0.99,Alternative,Carry On,Chris Cornell
Advance Romance,Frank Zappa,677694,22080051,0.99,Rock,Bongo Fury,Frank Zappa & Captain Beefheart
Pseudo Silk Kimono,"Kelly, Mosley, Rothery, Trewaves",134739,4334038,0.99,Rock,Misplaced Childhood,Marillion
Goin' Blind,"Gene Simmons, Stephen Coronel",217652,7167523,0.99,Rock,Unplugged [Live],Kiss
Petits Machins (Little Stuff),Miles Davis,487392,16131272,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
My Baby Left Me,J.C. Fogerty,140460,4633440,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
God Of Thunder,Paul Stanley,255791,8309077,0.99,Rock,Greatest Kiss,Kiss
Glorified G,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,206968,6772116,0.99,Rock,Vs.,Pearl Jam
Thru And Thru,Jagger/Richards,375092,12175406,0.99,Rock,Voodoo Lounge,The Rolling Stones
I Would Do For You,,334524,11193602,0.99,Reggae,UB40 The Best Of - Volume Two [UK],UB40
Enter Sandman,"James Hetfield, Lars Ulrich and Kirk Hammett",332251,10852002,0.99,Metal,Black Album,Metallica
Time,"Mason, Waters, Wright, Gilmour",425195,13955426,0.99,Rock,Dark Side Of The Moon,Pink Floyd
Runnin' With The Devil,"Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",215902,7061901,0.99,Rock,"The Best Of Van Halen, Vol. I",Van Halen
Sure Know Something,"Paul Stanley, Vincent Poncia",242468,7939886,0.99,Rock,Greatest Kiss,Kiss
"Past, Present, and Future",,2492867,490796184,1.99,Drama,"LOST, Season 4",Lost
Ram It Down,,292179,9554023,0.99,Metal,Living After Midnight,Judas Priest
That's Life,dean kay thompson/kelly gordon,187010,6095727,0.99,Easy Listening,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra
Sangue De Bairro,Chico Science,132231,4415557,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
Meu Erro,Herbert Vianna,188577,6192791,0.99,Latin,Acústico MTV,Os Paralamas Do Sucesso
Say Hello 2 Heaven,,384497,6477217,0.99,Alternative,Temple of the Dog,Temple of the Dog
Hairshirt,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,235911,7753807,0.99,Alternative & Punk,Green,R.E.M.
Unfinished Business,,2622038,528499160,1.99,Science Fiction,"Battlestar Galactica, Season 3",Battlestar Galactica
The Man Behind the Curtain,,2615990,493951081,1.99,Drama,"Lost, Season 3",Lost
Compulsion,Miles Davis,345025,11254474,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Drain You,Kurt Cobain,223973,7273440,0.99,Rock,Nevermind,Nirvana
Nobody Knows You When You're Down & Out,Jimmy Cox,231836,7669922,0.99,Blues,Unplugged,Eric Clapton
Essa Moça Ta Diferente,,167235,5568574,0.99,Latin,Minha Historia,Chico Buarque
Funk De Bamba (Com Fernanda Abreu),,237191,7866165,0.99,Latin,Roda De Funk,Funk Como Le Gusta
New Rhumba,Miles Davis,277968,9018024,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Cropduster,Matt Cameron,231888,7588928,0.99,Rock,Riot Act,Pearl Jam
Failling,Jay Kay/Toby Smith,225227,7503999,0.99,R&B/Soul,Synkronized,Jamiroquai
Azul,Djavan,253962,8381029,0.99,Latin,Djavan Ao Vivo - Vol. 1,Djavan
Esporrei Na Manivela,Rodolfo,293276,9618499,0.99,Alternative & Punk,Cesta Básica,Raimundos
Um Pro Outro,,236382,7825215,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Lulu Santos
A Kind Of Magic,Roger Taylor,262608,8689618,0.99,Rock,Greatest Hits II,Queen
Aviso Aos Navegantes,,242808,8058651,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos
Puteiro Em João Pessoa,Rodolfo,195578,6395490,0.99,Alternative & Punk,Cesta Básica,Raimundos
The Wake-Up Bomb,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,308532,10077337,0.99,Rock,New Adventures In Hi-Fi,R.E.M.
Cidade,,216346,7241817,0.99,Latin,Da Lama Ao Caos,Chico Science & Nação Zumbi
Deus Ex Machina,,2582009,214996732,1.99,TV Shows,"Lost, Season 1",Lost
O Descobridor Dos Sete Mares,Gilson Mendonça/Michel,262974,8749583,0.99,Latin,Serie Sem Limite (Disc 1),Tim Maia
Wake Up,Alanis Morissette & Glenn Ballard,293485,9703359,0.99,Rock,Jagged Little Pill,Alanis Morissette
Criança De Domingo,Chico Science,208222,6984813,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
Let's Spend The Night Together,Jagger/Richards,217495,7137048,0.99,Rock,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones
Free Me,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",278700,9109340,0.99,Rock,In Your Honor [Disc 1],Foo Fighters
Rosas De Ouro 2001,,284342,9721084,0.99,Soundtrack,Carnaval 2001,Various Artists
Sheer Heart Attack,Taylor,207386,6642685,0.99,Rock,News Of The World,Queen
Springsville (Alternate Take),J. Carisi,196388,6382079,0.99,Jazz,Miles Ahead,Miles Davis
Love,,326739,10729824,0.99,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult
Oração,,271072,9003882,0.99,Latin,Deixa Entrar,Falamansa
Into The Fire,"Blackmore, Gillan, Glover, Lord, Paice",210259,6849310,0.99,Rock,Deep Purple In Rock,Deep Purple
Bicycle Race,"Mercury, Freddie",183823,6012409,0.99,Rock,Greatest Hits I,Queen
Running Free,Paul Di'Anno/Steve Harris,199706,6483496,0.99,Rock,The Beast Live,Paul D'Ianno
Marquis In Spades,Billy Corgan,192731,6304789,0.99,Alternative & Punk,Judas 0: B-Sides and Rarities,Smashing Pumpkins
She Give Me ...,David Coverdale,252551,8385478,0.99,Rock,Into The Light,David Coverdale
Born On The Bayou,J.C. Fogerty,316630,10361866,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
O Segredo Do Universo,,192679,6315187,0.99,Rock,Raul Seixas,Raul Seixas
"The Gun On Ice Planet Zero, Pt. 1",,2907615,540980196,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic)
"""Eine Kleine Nachtmusik"" Serenade In G, K. 525: I. Allegro",Wolfgang Amadeus Mozart,348971,5760129,0.99,Classical,Sir Neville Marriner: A Celebration,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner
Deus,,284160,9188110,0.99,Rock,Compositores,O Terço
"Lamentations of Jeremiah, First Set \ Incipit Lamentatio",Thomas Tallis,69194,1208080,0.99,Classical,English Renaissance,The King's Singers
Chaos-Control,"Terry Bozzio, Steve Stevens, Tony Levin",529841,17455568,0.99,Rock,[1997] Black Light Syndrome,"Terry Bozzio, Tony Levin & Steve Stevens"
Theme From Let's Go Native,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",186723,6179777,0.99,Soundtrack,Original Soundtracks 1,Passengers
08 - Charlotte the Harlot,Murray  Dave,252708,6066304,0.99,Blues,Iron Maiden,Iron Maiden
Now Sports,,4884,161266,0.99,Alternative & Punk,Body Count,Body Count
Communication Breakdown,Jimmy Page/John Bonham/John Paul Jones,192653,6287257,0.99,Rock,BBC Sessions [Disc 1] [Live],Led Zeppelin
Mundaréu,,217521,7158975,0.99,Rock,Compositores,O Terço
Aneurysm,Nirvana,271516,8862545,0.99,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana
Someday My Prince Will Come,Miles Davis,544078,17890773,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Crumbs From Your Table,"Adam Clayton, Bono, Larry Mullen & The Edge",303568,9892349,0.99,Rock,How To Dismantle An Atomic Bomb,U2
Go Down,AC/DC,331180,10847611,0.99,Rock,Let There Be Rock,AC/DC
Ponta de Areia,"Milton Nascimento, Fernando Brant",272796,8874285,0.99,Latin,Minas,Milton Nascimento
O Trem Da Juventude,Herbert Vianna,225880,7507655,0.99,Latin,Acústico MTV,Os Paralamas Do Sucesso
Body Count's In The House,,204251,6715413,0.99,Alternative & Punk,Body Count,Body Count
A.N.D.R.O.T.A.Z.,,266266,8574746,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Wicked Garden,D. DeLeo/R. DeLeo/Weiland,245368,7989505,0.99,Rock,Core,Stone Temple Pilots
Once,Stone Gossard,231758,7561555,0.99,Rock,Ten,Pearl Jam
Eu So Queria Sumir,,269740,10791921,0.99,Electronica/Dance,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa
The Green Manalishi,,205792,6720789,0.99,Metal,Living After Midnight,Judas Priest
Desire,U2,179853,5893206,0.99,Rock,The Best Of 1980-1990,U2
The Apparition,Janick Gers/Steve Harris,234605,9386112,0.99,Rock,Fear Of The Dark,Iron Maiden
In Bloom,Kurt Cobain,254928,8327077,0.99,Rock,Nevermind,Nirvana
If God Will Send His Angels,"Bono, The Edge, Adam Clayton, and Larry Mullen",322533,10563329,0.99,Rock,Pop,U2
Carmina Burana: O Fortuna,Carl Orff,156710,2630293,0.99,Classical,Carmina Burana,Boston Symphony Orchestra & Seiji Ozawa
Children Of The Damned,Steve Harris,278177,6678446,0.99,Heavy Metal,Live After Death,Iron Maiden
Momma's Gotta Die Tonight,,371539,12122946,0.99,Alternative & Punk,Body Count,Body Count
Original Of The Species,"Adam Clayton, Bono, Larry Mullen & The Edge",281443,9230041,0.99,Rock,How To Dismantle An Atomic Bomb,U2
Meu Guarda-Chuva,,248528,8216625,0.99,Latin,Roda De Funk,Funk Como Le Gusta
Ice 9,,239721,4036215,0.99,Rock,Surfing with the Alien (Remastered),Joe Satriani
May This Be Love,Jimi Hendrix,191216,6240028,0.99,Rock,Are You Experienced?,Jimi Hendrix
Já Foi,Mônica Marianno,245681,8094872,0.99,World,Demorou...,Mônica Marianno
À Francesa,,244532,8150846,0.99,Latin,Na Pista,Cláudio Zoli
The Loneliness of the Long Dis,Steve Harris,391314,9393598,0.99,Metal,Somewhere in Time,Iron Maiden
You Shook Me(2),J B Lenoir/Willie Dixon,619467,20138673,0.99,Rock,BBC Sessions [Disc 1] [Live],Led Zeppelin
The Magnificent Warriors,,2924716,570152232,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic)
Four Walled World,,414474,6964048,0.99,Alternative,Temple of the Dog,Temple of the Dog
Negative Creep,Kurt Cobain,163761,5354854,0.99,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana
The Hard Part,,2601017,475996611,1.99,Drama,"Heroes, Season 1",Heroes
Romeo et Juliette: No. 11 - Danse des Chevaliers,,275015,4519239,0.99,Classical,Prokofiev: Romeo & Juliet,Michael Tilson Thomas & San Francisco Symphony
I'm The One,"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",226507,7373922,0.99,Rock,Van Halen,Van Halen
Black Diamond,Paul Stanley,314148,10266007,0.99,Rock,Greatest Kiss,Kiss
Black Dog,John Paul Jones/Robert Plant,317622,10267572,0.99,Rock,BBC Sessions [Disc 2] [Live],Led Zeppelin
Abandoned,,2587041,537348711,1.99,TV Shows,"Lost, Season 2",Lost
Hey Hey,Big Bill Broonzy,196466,6543487,0.99,Blues,Unplugged,Eric Clapton
Everlong,Dave Grohl,250749,8270816,0.99,Rock,The Colour And The Shape,Foo Fighters
Your Time Is Gonna Come,Jimmy Page/John Paul Jones,274860,9011653,0.99,Rock,Led Zeppelin I,Led Zeppelin
